Free Form,Job1,Job2,Job3,Score1,Score2,Score3
1 2 1 student mentor,tier 1 support technician,title 1 instructional assistant,tier 1 support specialist,0.780314564704895,0.7789086103439331,0.7645576000213623
1010 wins newsroom intern,national sales intern,client success intern,customer success intern,0.6893225312232971,0.6786484122276306,0.677773654460907
1er prix de la nuit pour entreprendre,tier 1 technical support agent,tier 1 analyst,experiential brand ambassador,0.647881805896759,0.6380780339241028,0.6294295787811279
1st lieutenant human resource planning division,director of human resources division,executive assistant human resource coordinator,deputy human resources director,0.7950363755226135,0.7897803783416748,0.7864736318588257
1st place team marketing consultancy practicum case competition,first year success coach,growth marketing intern,global marketing intern,0.6776830554008484,0.6754743456840515,0.6679797768592834
1st us account executive,tier 1 analyst,national account executive,national accounts supervisor,0.7481541037559509,0.7391615509986877,0.7243056297302246
20 role lead user researcher primer,long term disability analyst,annual giving assistant,assistant director of the annual fund,0.569000780582428,0.5623041391372681,0.5588984489440918
2011 corps member oklahoma,c 130 crew chief,annual giving assistant,battalion chief,0.5525120496749878,0.5503160953521729,0.5353252291679382
2nd assistant director,second assistant director,second assistant,second assistant superintendent,0.9044662714004517,0.8544243574142456,0.8205032348632812
360 recruitment consultant marketing division,marketing consultant account executive,marketing sales account executive,consultant marketing strategist,0.8485932350158691,0.8400647640228271,0.8363292813301086
3d motion design vfx,ux product designer,vfx production coordinator,ui ux product designer,0.748092770576477,0.734001636505127,0.7098667621612549
3rd grade lead teacher,1st grade teacher assistant,pre k assistant teacher,pre k teacher assistant,0.7892665863037109,0.7530802488327026,0.7502809166908264
3rd grade team lead,first year experience mentor,first year success coach,first year experience coordinator,0.688910961151123,0.6819483041763306,0.6800248622894287
3rd party risk team member,third party risk analyst,tier 3 support engineer,third key sales associate,0.8205222487449646,0.7161002159118652,0.6952530145645142
401 k operations analyst,operations analyst,claims operations analyst,aml operations analyst,0.8195076584815979,0.8060107827186584,0.8052642345428467
4fsu host reporter scripts,data reporter,media support specialist,data journalist,0.6897040009498596,0.6863725781440735,0.6811071038246155
4va jmu drones project,vfx production coordinator,main propulsion assistant,chief mri technologist,0.6332466006278992,0.5557558536529541,0.5439529418945312
5 boro intern,res assistant,intern assistant coordinator,pre k assistant,0.6642125844955444,0.6497133374214172,0.6489202380180359
82 grill kitchen assistant,restaurant cook assistant,kitchen assistant manager,prep cook assistant cook,0.695588231086731,0.6917378902435303,0.6878516674041748
8200,inclusion assistant,administrator assistant,escrow assistant,0.650920033454895,0.6239760518074036,0.6227803230285645
9th 10th grade program supervisor,1st grade teacher assistant,early childhood assistant,early childhood education assistant,0.7184838056564331,0.6507754325866699,0.649728536605835
a marketing manager,marketing manager,marketing team manager,marketing project manager,0.9737595319747925,0.9681180715560913,0.9642249345779419
a r intern,human factors intern,solutions intern,category assistant,0.8240773677825928,0.8231098055839539,0.8090168833732605
a v inputs coordinator,production coordinator,production representative,operations production coordinator,0.8329293727874756,0.8326612710952759,0.8315696120262146
academic advisor and tutor,academic advising assistant,academic support assistant,academic support specialist,0.9017009735107422,0.8727372288703918,0.8625034093856812
academic advisor tutor,academic advising assistant,academic advisor graduate assistant,academic support assistant,0.9179307222366333,0.8781716823577881,0.8732906579971313
academic fellow,academic support specialist,academic assistant,academic advising assistant,0.8878341317176819,0.8837419748306274,0.8746143579483032
academic instructor,instructor assistant professor,assistant professor and educator,instructional assistant professor,0.8982093930244446,0.8894491195678711,0.8827406167984009
academic intern,student academic assistant,academic assistant,academic program assistant,0.9027301669120789,0.8956102728843689,0.8942950963973999
academic mentor,academic advising assistant,academic support specialist,academic assistant,0.9102362394332886,0.89635169506073,0.8844823837280273
academic operations manager,academic account manager,academic support coordinator,academic administrative assistant,0.9349545240402222,0.9341169595718384,0.9324510097503662
academic tutor,academic advising assistant,academic assistant,academic support assistant,0.9094053506851196,0.8982563018798828,0.8879011869430542
academic vice president of resident s hall,assistant academic dean,academic administrative assistant,assistant vice chancellor,0.8481067419052124,0.824803352355957,0.8174359202384949
academy account executive,agency account executive,saas account executive,account executive agent,0.8634091019630432,0.8631670475006104,0.8611438274383545
academy awards after party staff the oscars,wedding photographer assistant,wedding sales manager,hotel director of sales,0.5666590929031372,0.5547648668289185,0.5430211424827576
acccount executive,executive support analyst,executive support specialist,services and solutions executive,0.8702707290649414,0.869363009929657,0.8647606372833252
accelerated digital management program,digital production coordinator,digital solutions coordinator,director of digital experience,0.8456063270568848,0.8434838056564331,0.8404697179794312
